fall_nr	klasse_nr	schueler_nr	geschlecht	beliebt	leistung	unlust
84	4	17	1	21	16,9583333333333	18,5520833333333
85	4	18	1	19	24,355	21,80625
86	4	19	1	10	22,3516666666667	19,3104166666667
87	4	20	1	22	18,3733333333333	18,0333333333333
88	4	21	0	4	29,4016666666667	21,7479166666667
89	4	22	1	5	29,475	20,40625
90	4	23	0	6	21,68	20,15
91	4	24	1	16	22,635	20,20625
92	4	25	0	28	21,8566666666667	21,1791666666667
93	4	26	0	5	26,8033333333333	21,2458333333333
94	4	27	0	10	23,8133333333333	21,2333333333333
95	4	28	1	13	23,9566666666667	21,0541666666667
96	5	1	1	30	21,1316666666667	19,5854166666667
97	5	2	0	8	24,06	20,925
98	5	3	1	20	22,7666666666667	18,7916666666667
99	5	4	0	5	30,8	20
100	5	5	1	9	25,02	20,975
101	5	6	1	16	23,9	19,875
102	5	7	0	24	26,02	20,975
103	5	8	1	8	25,965	18,54375
104	5	9	1	8	29,9666666666667	19,7916666666667
105	5	10	1	17	22,3	19,375
106	5	11	1	13	18,4133333333333	20,4833333333333
107	5	12	0	5	18,3516666666667	20,5604166666667
108	5	13	1	5	29,6266666666667	20,2166666666667
109	5	14	0	15	23,2133333333333	20,7333333333333
110	5	15	0	6	23,9666666666667	19,7916666666667
111	5	16	1	27	19,5	20,375
112	5	17	1	14	28,82	18,725
113	5	18	0	5	28,4	20,5
114	5	19	1	11	23,3466666666667	20,5666666666667
115	5	20	1	24	25,8933333333333	18,6333333333333
116	5	21	1	17	26,0133333333333	19,7333333333333
117	5	22	0	11	22,72	20,1
118	5	23	0	6	27,1266666666667	20,8416666666667
119	5	24	0	7	26,3266666666667	20,5916666666667
120	5	25	1	32	15,2466666666667	18,1916666666667
121	5	26	1	9	27,5533333333333	17,8083333333333
122	6	1	0	23	32,175	19,53125
123	6	2	0	32	23,5816666666667	16,5229166666667
124	6	3	1	19	19,1266666666667	15,8416666666667
125	6	4	0	17	31,3083333333333	19,3645833333333
126	6	5	1	12	28,5666666666667	19,0416666666667
127	6	6	0	11	25,7466666666667	18,8166666666667
128	6	7	1	10	28,8116666666667	17,4854166666667
129	6	8	1	12	20,34	19,325
130	6	9	0	11	30,57	19,0375
131	6	10	1	30	30,0616666666667	17,1729166666667
132	6	11	0	30	18,9466666666667	18,5666666666667
133	6	12	0	20	27,5966666666667	17,7541666666667
134	6	13	0	7	34,2016666666667	18,2479166666667
135	6	14	0	10	27,0916666666667	18,3854166666667
136	6	15	0	7	34,05	19,6875
137	6	16	0	13	29,52	19,1
138	6	17	1	6	31,135	19,58125
139	6	18	0	8	22,835	17,45625
140	6	19	1	9	28,15	19,5625
141	6	20	0	34	14,4466666666667	17,9416666666667
142	6	21	1	7	26,9216666666667	17,3479166666667
143	6	22	1	10	28,555	19,05625
144	6	23	0	11	28,5066666666667	16,6166666666667
145	6	24	1	6	24,7166666666667	17,6041666666667
146	6	25	0	24	27,295	19,38125
147	6	26	0	18	20,6716666666667	18,9104166666667
148	6	27	1	33	30,32	18,1
149	6	28	1	8	29,1466666666667	19,5666666666667
150	6	29	1	14	29,81	18,7375
151	7	1	1	19	31,6933333333333	16,3833333333333
152	7	2	0	18	27,89	18,6375
153	7	3	1	24	24,375	15,53125
154	7	4	0	16	24,105	18,36875
155	7	5	1	26	28,3283333333333	15,5895833333333
156	7	6	0	13	32,62	18,975
157	7	7	0	21	22,7916666666667	18,7604166666667
158	7	8	0	18	24,89	18,6375
159	7	9	1	29	27,615	16,48125
160	7	10	0	12	28,2416666666667	16,9479166666667
161	7	11	0	10	28,64	18,95
162	7	12	0	18	30,64	18,95
163	7	13	0	24	20,915	18,60625
164	7	14	0	7	30,745	18,81875
165	7	15	1	30	21,965	16,04375
166	7	16	1	24	25,93	16,0875
167	7	17	0	22	34,705	18,86875
168	7	18	0	14	26,8183333333333	18,7270833333333
169	7	19	1	23	24,9616666666667	17,2979166666667
170	7	20	0	16	22,6233333333333	17,7208333333333
171	7	21	0	21	20,6683333333333	17,6645833333333
172	7	22	0	21	21,925	18,59375
173	7	23	0	17	28,9833333333333	18,5208333333333
174	7	24	1	19	28,6716666666667	17,6604166666667
175	8	1	0	16	24,4	18
176	8	2	1	9	36,8	17,5
177	8	3	0	35	28,4	13
178	8	4	0	9	25,4	18
179	8	5	1	12	30,4	18
180	8	6	1	26	25,4	18
181	8	7	1	22	21,4	18
182	8	8	0	38	19,8	17,5
183	8	9	1	20	32,6	16,5
184	8	10	1	15	31,4	18
185	8	11	0	26	37,2	17
186	8	12	1	8	35,4	18
187	8	13	0	16	30,4	18
188	8	14	1	20	33,4	18
189	8	15	0	21	25,4	18
190	8	16	0	25	27,6	16,5
191	8	17	1	10	33,8	17,5
192	8	18	0	13	33,8	17,5
193	8	19	0	26	30,4	18
194	8	20	1	15	29,4	18
195	8	21	0	10	35,2	14,5
196	8	22	1	12	30,8	17,5
197	8	23	0	15	28,4	18
198	8	24	0	9	26,4	18
199	8	25	1	36	25	16
200	9	1	0	14	35,265	16,91875
201	9	2	0	19	28,285	16,89375
202	9	3	0	19	37,1	15,875
203	9	4	1	22	36,655	16,43125
204	9	5	1	30	27,205	15,74375
205	9	6	1	13	36,3583333333333	15,5520833333333
206	9	7	1	12	36,83	16,2125
207	9	8	0	23	32,245	16,94375
208	9	9	0	26	38,4816666666667	15,3979166666667
209	9	10	0	26	34,63	15,2125
210	9	11	1	23	24,52	16,6
211	9	12	1	31	32,5333333333333	14,0833333333333
212	9	13	0	18	39,945	16,06875
213	9	14	1	15	35,0583333333333	15,9270833333333
214	9	15	1	33	33,4883333333333	15,3895833333333
215	9	16	1	35	23,2033333333333	15,7458333333333
216	9	17	1	34	29,315	15,60625
217	9	18	1	15	28,505	16,61875
218	9	19	0	23	33,98	14,775
219	9	20	1	12	34,4516666666667	15,4354166666667
220	9	21	1	12	31,9166666666667	16,1041666666667
221	9	22	1	31	30,725	16,34375
222	9	23	1	19	30,565	16,54375
223	9	24	1	20	36,6983333333333	13,8770833333333
224	9	25	0	12	36,2	17
225	10	1	1	23	29,9283333333333	13,5895833333333
226	10	2	1	11	31,5316666666667	14,0854166666667
227	10	3	0	29	29,3383333333333	15,5770833333333
228	10	4	0	25	35,8333333333333	14,9583333333333
229	10	5	0	24	34,5733333333333	15,2833333333333
230	10	6	1	15	39,49	12,8875
231	10	7	1	20	38,76	11,3
232	10	8	1	11	34,3433333333333	14,3208333333333
233	10	9	1	27	32,1033333333333	14,6208333333333
234	10	10	1	15	37,7433333333333	13,8208333333333
235	10	11	1	24	34,0333333333333	14,7083333333333
236	10	12	1	21	35,265	14,41875
237	10	13	0	10	41,1316666666667	14,5854166666667
238	10	14	1	10	41,4783333333333	12,9020833333333
239	10	15	0	12	40,3083333333333	15,6145833333333
240	10	16	1	30	22,8016666666667	14,9979166666667
241	10	17	1	11	37,5566666666667	14,0541666666667
242	10	18	1	33	27,2716666666667	14,4104166666667
243	10	19	1	14	36,6283333333333	12,7145833333333
244	10	20	0	14	36,2483333333333	15,6895833333333
245	10	21	1	11	42,3733333333333	14,2833333333333
246	10	22	0	17	30,9183333333333	14,8520833333333
247	10	23	1	10	42,735	12,58125
248	10	24	0	12	32,3083333333333	15,6145833333333
249	10	25	1	16	30,5683333333333	12,7895833333333
250	10	26	1	29	34,7133333333333	13,8583333333333
251	10	27	0	25	36,49	15,3875
252	11	1	1	47	26,325	13,09375
253	11	2	1	18	40,2233333333333	11,9708333333333
254	11	3	0	26	32,8916666666667	14,8854166666667
255	11	4	1	23	31,2066666666667	14,4916666666667
256	11	5	0	26	36,1866666666667	14,5166666666667
257	11	6	1	27	38,925	13,59375
258	11	7	0	23	42,94	13,575
259	11	8	0	20	41,5416666666667	14,0729166666667
260	11	9	1	27	30,165	14,54375
261	11	10	1	26	36,15	13,3125
262	11	11	1	21	38,0383333333333	13,4520833333333
263	11	12	1	25	33,6733333333333	11,4083333333333
264	11	13	0	18	32,89	14,8875
265	11	14	1	32	33,4233333333333	11,7208333333333
266	11	15	1	12	28,455	14,18125
267	11	16	1	31	34,1266666666667	13,3416666666667
268	11	17	1	24	37,7033333333333	13,8708333333333
269	11	18	1	27	33,995	13,50625
270	11	19	0	19	31,89	14,8875
271	11	20	1	30	36,12	14,6
272	11	21	0	27	38,4733333333333	14,1583333333333
273	11	22	1	19	32,9416666666667	11,0729166666667
274	11	23	0	18	34,0016666666667	14,7479166666667
275	12	1	0	23	41	11
276	12	2	1	28	43,4	13
277	12	3	0	20	37,6	14
278	12	4	0	18	37,6	14
279	12	5	1	36	45,6	9
280	12	6	1	15	40,6	11,5
281	12	7	0	30	31	11
282	12	8	1	32	32,4	10,5
283	12	9	1	23	34,6	14
284	12	10	1	35	40,6	9
285	12	11	1	38	37,6	9
286	12	12	1	37	43,6	9
287	12	13	1	33	41,6	9
288	12	14	0	21	40,6	14
289	12	15	1	38	37,8	10
290	12	16	0	32	40,6	11,5
291	12	17	0	34	26	11
292	12	18	0	14	42,6	11,5
293	12	19	0	14	37,6	14
294	12	20	0	24	37,6	11,5
295	12	21	1	36	37,8	12,5
296	12	22	0	25	30,6	14
297	12	23	1	24	41	13,5
298	13	1	0	24	42,2	12
299	13	2	0	24	41,8	12,5
300	13	3	1	13	42	11
301	13	4	1	28	36,2	12
302	13	5	0	18	41,8	10
303	13	6	0	36	33,8	12,5
304	13	7	0	13	43,4	13
305	13	8	1	23	39,4	13
306	13	9	0	27	40,8	10
307	13	10	0	22	38,8	12,5
308	13	11	0	32	34,6	11,5
309	13	12	1	24	38,8	12,5
310	13	13	1	42	32,6	9
311	13	14	1	26	35,4	13
312	13	15	0	23	37,6	11,5
313	13	16	0	26	37,4	13
314	13	17	0	34	35,4	13
315	13	18	1	25	36,2	12
316	13	19	0	27	33,8	12,5
317	13	20	0	35	39,2	12
318	13	21	1	23	40,6	11,5
319	13	22	1	24	46,2	12
320	13	23	1	41	41,4	8
321	14	1	1	33	32,4	10,5
322	14	2	0	26	40,6	9
323	14	3	0	27	35,2	12
324	14	4	0	29	35,2	12
325	14	5	0	32	41,2	12
326	14	6	1	30	44	8,5
327	14	7	1	35	39,2	12
328	14	8	1	23	37,2	12
329	14	9	1	19	40,4	10,5
330	14	10	0	44	33,8	10
331	14	11	1	18	40,2	12
332	14	12	0	33	33,2	12
333	14	13	1	29	39,2	12
334	14	14	0	18	45,8	7,5
335	14	15	0	20	39,2	12
336	14	16	0	41	32,6	11,5
337	14	17	0	14	48,6	11,5
338	14	18	1	37	36	11
339	14	19	1	31	34,2	12
340	14	20	0	37	34,2	12
341	14	21	1	35	40	11
342	15	1	1	18	47,665	10,16875
343	15	2	0	15	38,075	10,90625
344	15	3	1	21	42,75	10,0625
345	15	4	0	15	42,04	10,95
346	15	5	0	15	46,8616666666667	9,92291666666667
347	15	6	1	36	31,58	9,025
348	15	7	1	26	42,4566666666667	10,4291666666667
349	15	8	1	17	51,6716666666667	7,66041666666667
350	15	9	0	15	50,185	10,76875
351	15	10	1	15	48,84	7,45
352	15	11	1	21	49,32	9,35
353	15	12	1	15	43,9616666666667	7,29791666666667
354	15	13	0	22	37,9283333333333	8,58958333333333
355	15	14	1	40	33,08	7,15
356	15	15	1	15	51,0533333333333	9,68333333333333
357	15	16	0	17	44,04	10,95
358	15	17	1	32	36,7583333333333	7,55208333333333
359	15	18	1	30	44,155	10,80625
360	15	19	1	21	42,1516666666667	8,31041666666667
361	15	20	1	33	38,1733333333333	7,03333333333333
362	15	21	0	15	49,2016666666667	10,7479166666667
363	15	22	1	16	49,275	9,40625
364	15	23	0	17	41,48	9,15
365	15	24	1	27	42,435	9,20625
366	15	25	0	39	41,6566666666667	10,1791666666667
367	15	26	0	16	46,6033333333333	10,2458333333333
368	15	27	0	21	43,6133333333333	10,2333333333333
369	15	28	1	24	43,7566666666667	10,0541666666667
370	16	1	1	41	40,9316666666667	8,58541666666667
371	16	2	0	19	43,86	9,925
372	16	3	1	31	42,5666666666667	7,79166666666667
373	16	4	0	16	50,6	9
374	16	5	1	20	44,82	9,975
375	16	6	1	27	43,7	8,875
376	16	7	0	35	45,82	9,975
377	16	8	1	19	45,765	7,54375
378	16	9	1	19	49,7666666666667	8,79166666666667
379	16	10	1	28	42,1	8,375
380	16	11	1	24	38,2133333333333	9,48333333333333
381	16	12	0	16	38,1516666666667	9,56041666666667
382	16	13	1	16	49,4266666666667	9,21666666666667
383	16	14	0	26	43,0133333333333	9,73333333333333
384	16	15	0	17	43,7666666666667	8,79166666666667
385	16	16	1	38	39,3	9,375
386	16	17	1	25	48,62	7,725
387	16	18	0	16	48,2	9,5
388	16	19	1	22	43,1466666666667	9,56666666666667
389	16	20	1	35	45,6933333333333	7,63333333333333
390	16	21	1	28	45,8133333333333	8,73333333333333
391	16	22	0	22	42,52	9,1
392	16	23	0	17	46,9266666666667	9,84166666666667
393	16	24	0	18	46,1266666666667	9,59166666666667
394	16	25	1	43	35,0466666666667	7,19166666666667
395	16	26	1	20	47,3533333333333	6,80833333333333
396	17	1	0	34	51,975	8,53125
397	17	2	0	43	43,3816666666667	5,52291666666667
398	17	3	1	30	38,9266666666667	4,84166666666667
399	17	4	0	28	51,1083333333333	8,36458333333333
400	17	5	1	23	48,3666666666667	8,04166666666667
401	17	6	0	22	45,5466666666667	7,81666666666667
402	17	7	1	21	48,6116666666667	6,48541666666667
403	17	8	1	23	40,14	8,325
404	17	9	0	22	50,37	8,0375
405	17	10	1	41	49,8616666666667	6,17291666666667
406	17	11	0	41	38,7466666666667	7,56666666666667
407	17	12	0	31	47,3966666666667	6,75416666666667
408	17	13	0	18	54,0016666666667	7,24791666666667
409	17	14	0	21	46,8916666666667	7,38541666666667
410	17	15	0	18	53,85	8,6875
411	17	16	0	24	49,32	8,1
412	17	17	1	17	50,935	8,58125
413	17	18	0	19	42,635	6,45625
414	17	19	1	20	47,95	8,5625
415	17	20	0	45	34,2466666666667	6,94166666666667
416	17	21	1	18	46,7216666666667	6,34791666666667
417	17	22	1	21	48,355	8,05625
418	17	23	0	22	48,3066666666667	5,61666666666667
419	17	24	1	17	44,5166666666667	6,60416666666667
420	17	25	0	35	47,095	8,38125
421	17	26	0	29	40,4716666666667	7,91041666666667
422	17	27	1	44	50,12	7,1
423	17	28	1	19	48,9466666666667	8,56666666666667
424	17	29	1	25	49,61	7,7375
425	18	1	1	30	51,4933333333333	5,38333333333333
426	18	2	0	29	47,69	7,6375
427	18	3	1	35	44,175	4,53125
428	18	4	0	27	43,905	7,36875
429	18	5	1	37	48,1283333333333	4,58958333333333
430	18	6	0	24	52,42	7,975
431	18	7	0	32	42,5916666666667	7,76041666666667
432	18	8	0	29	44,69	7,6375
433	18	9	1	40	47,415	5,48125
434	18	10	0	23	48,0416666666667	5,94791666666667
435	18	11	0	21	48,44	7,95
436	18	12	0	29	50,44	7,95
437	18	13	0	35	40,715	7,60625
438	18	14	0	18	50,545	7,81875
439	18	15	1	41	41,765	5,04375
440	18	16	1	35	45,73	5,0875
441	18	17	0	33	54,505	7,86875
442	18	18	0	25	46,6183333333333	7,72708333333333
443	18	19	1	34	44,7616666666667	6,29791666666667
444	18	20	0	27	42,4233333333333	6,72083333333333
445	18	21	0	32	40,4683333333333	6,66458333333333
446	18	22	0	32	41,725	7,59375
447	18	23	0	28	48,7833333333333	7,52083333333333
448	18	24	1	30	48,4716666666667	6,66041666666667
449	19	1	0	27	44,2	7
450	19	2	1	20	56,6	6,5
451	19	3	0	46	48,2	2
452	19	4	0	20	45,2	7
453	19	5	1	23	50,2	7
454	19	6	1	37	45,2	7
455	19	7	1	33	41,2	7
456	19	8	0	49	39,6	6,5
457	19	9	1	31	52,4	5,5
458	19	10	1	26	51,2	7
459	19	11	0	37	57	6
460	19	12	1	19	55,2	7
461	19	13	0	27	50,2	7
462	19	14	1	31	53,2	7
463	19	15	0	32	45,2	7
464	19	16	0	36	47,4	5,5
465	19	17	1	21	53,6	6,5
466	19	18	0	24	53,6	6,5
467	19	19	0	37	50,2	7
468	19	20	1	26	49,2	7
469	19	21	0	21	55	3,5
470	19	22	1	23	50,6	6,5
471	19	23	0	26	48,2	7
472	19	24	0	20	46,2	7
473	19	25	1	47	44,8	5
474	20	1	0	25	55,065	5,91875
475	20	2	0	30	48,085	5,89375
476	20	3	0	30	56,9	4,875
477	20	4	1	33	56,455	5,43125
478	20	5	1	41	47,005	4,74375
479	20	6	1	24	56,1583333333333	4,55208333333333
480	20	7	1	23	56,63	5,2125
481	20	8	0	34	52,045	5,94375
482	20	9	0	37	58,2816666666667	4,39791666666667
483	20	10	0	37	54,43	4,2125
484	20	11	1	34	44,32	5,6
485	20	12	1	42	52,3333333333333	3,08333333333333
486	20	13	0	29	59,745	5,06875
487	20	14	1	26	54,8583333333333	4,92708333333333
488	20	15	1	44	53,2883333333333	4,38958333333333
489	20	16	1	46	43,0033333333333	4,74583333333333
490	20	17	1	45	49,115	4,60625
491	20	18	1	26	48,305	5,61875
492	20	19	0	34	53,78	3,775
493	20	20	1	23	54,2516666666667	4,43541666666667
494	20	21	1	23	51,7166666666667	5,10416666666667
495	20	22	1	42	50,525	5,34375
496	20	23	1	30	50,365	5,54375
497	20	24	1	31	56,4983333333333	2,87708333333333
498	20	25	0	23	56	6
499	21	1	1	34	49,7283333333333	2,58958333333333
500	21	2	1	22	51,3316666666667	3,08541666666667
501	21	3	0	40	49,1383333333333	4,57708333333333
502	21	4	0	36	55,6333333333333	3,95833333333333
503	21	5	0	35	54,3733333333333	4,28333333333333
504	21	6	1	26	59,29	1,8875
505	21	7	1	31	58,56	,300000000000001
506	21	8	1	22	54,1433333333333	3,32083333333333
507	21	9	1	38	51,9033333333333	3,62083333333333
508	21	10	1	26	57,5433333333333	2,82083333333333
509	21	11	1	35	53,8333333333333	3,70833333333333
510	21	12	1	32	55,065	3,41875
511	21	13	0	21	60,9316666666667	3,58541666666667
512	21	14	1	21	61,2783333333333	1,90208333333333
513	21	15	0	23	60,1083333333333	4,61458333333333
514	21	16	1	41	42,6016666666667	3,99791666666667
515	21	17	1	22	57,3566666666667	3,05416666666667
516	21	18	1	44	47,0716666666667	3,41041666666667
517	21	19	1	25	56,4283333333333	1,71458333333333
518	21	20	0	25	56,0483333333333	4,68958333333333
519	21	21	1	22	62,1733333333333	3,28333333333333
520	21	22	0	28	50,7183333333333	3,85208333333333
521	21	23	1	21	62,535	1,58125
522	21	24	0	23	52,1083333333333	4,61458333333333
523	21	25	1	27	50,3683333333333	1,78958333333333
524	21	26	1	40	54,5133333333333	2,85833333333333
525	21	27	0	36	56,29	4,3875
526	22	1	1	58	46,125	2,09375
527	22	2	1	29	60,0233333333333	,970833333333331
528	22	3	0	37	52,6916666666667	3,88541666666667
529	22	4	1	34	51,0066666666667	3,49166666666667
530	22	5	0	37	55,9866666666667	3,51666666666667
531	22	6	1	38	58,725	2,59375
532	22	7	0	34	62,74	2,575
533	22	8	0	31	61,3416666666667	3,07291666666667
534	22	9	1	38	49,965	3,54375
535	22	10	1	37	55,95	2,3125
536	22	11	1	32	57,8383333333333	2,45208333333333
537	22	12	1	36	53,4733333333333	,408333333333331
538	22	13	0	29	52,69	3,8875
539	22	14	1	43	53,2233333333333	,720833333333331
540	22	15	1	23	48,255	3,18125
541	22	16	1	42	53,9266666666667	2,34166666666667
542	22	17	1	35	57,5033333333333	2,87083333333333
543	22	18	1	38	53,795	2,50625
544	22	19	0	30	51,69	3,8875
545	22	20	1	41	55,92	3,6
546	22	21	0	38	58,2733333333333	3,15833333333333
547	22	22	1	30	52,7416666666667	,0729166666666679
548	22	23	0	29	53,8016666666667	3,74791666666667
